AWI	1010	 ARMSTRONG WORLD INDUSTRIES INC
AWK	2074	 AMERICAN WATER WORKS CO INC/NEW
AWP	1031	 ABERDEEN GLOBAL PREMIER PROPERTIES FUND
AWR	2074	 AMERICAN STATES WATER CO(HLDG
AWRE	3116	 AWARE INC (MASS)
AWX	3106	 AVALON HOLDINGS CRP CL A
AXAS	3094	 ABRAXAS PETROLEUM CORP
AXDX	2064	 ACCELERATE DIAGNOSTICS INC
AXE	3106	 ANIXTER INTERNATIONAL INC
AXGN	2063	 AXOGEN INC
AXL	1020	 AMER AXLE & MANUFACTURING HLDG
AXON	-1	 -10
AXP	1032	 AMERICAN EXPRESS COMPANY
AXR	3105	 AMREP CORP
AXS	1032	 AXIS CAPITAL HOLDINGS LTD
AXS_D	-1	 -10
AXS_E	-1	 -10
AXSM	2063	 AXSOME THERAPEUTICS INC
AXTA	1010	 AXALTA COATING SYSTEMS LTD
AXTI	3116	 AXT INC
AXU	3106	 ALEXCO RESOURCE CORP
AYI	3116	 ACUITY BRANDS INC.
AYR	3105	 AIRCASTLE LTD
AYTU	2063	 AYTU BIOSCIENCE INC
AYX	3116	 Alteryx  Inc.
AZN	2063	 ASTRAZENECA PLC
AZO	1021	 AUTOZONE INC
AZPN	3116	 ASPEN TECHNOLOGY INC
AZRE	2074	 AZURE POWER GLOBAL LTD
